,fcs_colname,antigen
1,Time,NA
2,SSC-H,NA
3,SSC-A,NA
4,FSC-H,NA
5,FSC-A,NA
6,SSC-B-H,NA
7,SSC-B-A,NA
8,LIVE DEAD Blue-A,Viability
9,BUV805-A,CCR7
10,Spark Blue 550-A,CD8
11,Super Bright 436-A,CD19
12,Pacific Orange-A,CD45
13,BUV395-A,CD45RA
14,BV510-A,CD3
15,PE-Cy7-A,PD1
16,cFluor YG584-A,CD4
17,BV570-A,CD56
18,BUV496-A,CD16
19,PE-Fire 810-A,CD38
20,APC-Fire 810-A,HLA-DR
21,BV480-A,TIGIT
22,BUV737-A,TIM3
23,BV605-A,CD27
24,BV711-A,LAG3
25,BV785-A,CD57
26,PerCP-Cy5.5-A,CD28
27,PE-Cy5-A,CD95
28,Alexa Fluor 700-A,MCT1
29,BUV563-A,CD98
30,PerCP-eFluor 710-A,CD36
31,PE-A,IDH2
32,BV421-A,CTLA4
33,APC-A,GAPDH
34,Alexa Fluor 647-A,G6PD
35,Alexa Fluor 488-A,ACAC
36,Alexa Fluor 594-A,ATP5A
37,CF405M-A,Glut1
38,CF750-A,CPT1A
39,AF-A,NA
